ticker,name,exchange
dtk,deutsche bk contingent cap tr i,nyse
dtq,dte energy co.,nyse
dtt,deutsche bk cap fdg tr ix gua,nyse
dtz,dte energy co.,nyse
dua,deutsche bk cap fdg tr viii 6,nyse
duc,duff & phelps utility & corporate trust,nyse
duk,duke energy corp.,nyse
dukh,duke energy corporation,nyse
dv,devry inc.,nyse
dva,davita inc.,nyse
dvd,dover downs entertainment,nyse
dvm,cohen & steers dividend majors fund,nyse
dvn,devon energy corp.,nyse
dvr,cal dive international,nyse
dw,drew industries inc.,nyse
dwre,demandware inc.,nyse
dx,dynex capital,nyse
dx-a,dynex capital inc.,nyse
dx-b,dynex capital inc.,nyse
dxb,deutsche bk contingent cap tr i,nyse
dy,dycom industries,nyse
dyn,dynegy inc,nyse
dyn.w,dynegy inc. warrants,nyse
e,eni s.p.a.,nyse
eaa,entergy arkansas,nyse
eab,first mortgage bonds,nyse
eae,entergy arkansas inc.,nyse
earn,ellington residential mortgage,nyse
eat,brinker international,nyse
ebf,ennis,nyse
